genetic;length;mass;exercise;smoking;alcohol;sugar;lifespan
79.0;208.0;87.0;2.0;14.0;5.0;4.0;75.0
78.0;211.0;85.0;2.0;18.0;9.0;3.0;73.0
80.0;195.0;91.0;1.0;19.0;2.0;1.0;73.0
79.0;179.0;85.0;1.0;0.0;0.0;3.0;76.0
79.0;189.0;94.0;3.0;19.0;8.0;4.0;68.0
81.0;163.0;98.0;1.0;9.0;6.0;2.0;65.0
79.0;204.0;75.0;1.0;10.0;8.0;1.0;73.0
81.0;214.0;82.0;1.0;14.0;9.0;3.0;65.0
78.0;201.0;63.0;2.0;0.0;9.0;3.0;84.0
77.0;178.0;81.0;1.0;1.0;5.0;4.0;71.0
78.0;196.0;86.0;2.0;17.0;6.0;2.0;76.0
80.0;170.0;61.0;2.0;20.0;9.0;2.0;72.0
78.0;193.0;72.0;1.0;22.0;6.0;3.0;59.0
81.0;181.0;79.0;1.0;12.0;3.0;3.0;65.0
80.0;190.0;83.0;2.0;7.0;3.0;4.0;84.0
83.0;167.0;78.0;3.0;13.0;7.0;2.0;91.0
79.0;193.0;70.0;1.0;3.0;8.0;3.0;77.0
80.0;169.0;75.0;2.0;6.0;6.0;1.0;83.0
78.0;191.0;72.0;3.0;8.0;6.0;3.0;90.0
79.0;190.0;82.0;3.0;0.0;9.0;2.0;91.0
79.0;163.0;83.0;2.0;8.0;8.0;3.0;70.0
82.0;183.0;81.0;2.0;0.0;3.0;2.0;97.0
78.0;165.0;90.0;2.0;3.0;7.0;1.0;87.0
82.0;190.0;72.0;2.0;9.0;9.0;3.0;75.0
77.0;168.0;105.0;2.0;13.0;7.0;2.0;64.0
80.0;199.0;62.0;2.0;1.0;1.0;3.0;93.0
81.0;204.0;60.0;1.0;0.0;7.0;2.0;85.0
81.0;169.0;83.0;3.0;3.0;9.0;4.0;85.0
80.0;190.0;83.0;2.0;2.0;7.0;2.0;83.0
82.0;176.0;90.0;1.0;13.0;8.0;2.0;69.0
82.0;175.0;87.0;1.0;3.0;9.0;2.0;77.0
82.0;202.0;89.0;1.0;6.0;9.0;2.0;79.0
76.0;185.0;72.0;2.0;14.0;5.0;3.0;72.0
81.0;185.0;86.0;2.0;5.0;5.0;1.0;90.0
80.0;182.0;85.0;2.0;0.0;6.0;1.0;85.0
78.0;173.0;70.0;1.0;2.0;7.0;2.0;76.0
80.0;190.0;85.0;2.0;11.0;4.0;1.0;89.0
79.0;185.0;85.0;1.0;20.0;7.0;3.0;55.0
82.0;202.0;87.0;1.0;16.0;8.0;2.0;70.0
79.0;187.0;83.0;1.0;22.0;4.0;3.0;57.0
81.0;203.0;81.0;1.0;17.0;8.0;1.0;73.0
78.0;194.0;73.0;1.0;5.0;8.0;3.0;73.0
81.0;180.0;78.0;1.0;18.0;8.0;2.0;63.0
84.0;196.0;68.0;2.0;14.0;8.0;1.0;80.0
82.0;163.0;73.0;3.0;15.0;6.0;2.0;90.0
78.0;164.0;81.0;2.0;18.0;2.0;4.0;65.0
83.0;164.0;89.0;2.0;0.0;5.0;1.0;91.0
82.0;207.0;81.0;1.0;11.0;9.0;2.0;73.0
79.0;188.0;83.0;2.0;0.0;7.0;3.0;80.0
78.0;155.0;73.0;2.0;4.0;9.0;3.0;78.0
80.0;180.0;65.0;2.0;0.0;7.0;3.0;87.0
83.0;184.0;79.0;3.0;15.0;7.0;3.0;87.0
84.0;181.0;62.0;1.0;4.0;8.0;4.0;74.0
77.0;192.0;84.0;3.0;16.0;5.0;2.0;82.0
81.0;178.0;112.0;1.0;5.0;4.0;5.0;68.0
80.0;166.0;86.0;3.0;0.0;10.0;2.0;85.0
81.0;168.0;64.0;1.0;10.0;6.0;2.0;71.0
80.0;193.0;64.0;0.0;1.0;8.0;2.0;77.0
84.0;186.0;82.0;2.0;10.0;6.0;2.0;91.0
81.0;171.0;74.0;1.0;3.0;8.0;2.0;76.0
81.0;171.0;77.0;2.0;17.0;3.0;3.0;74.0
80.0;181.0;71.0;1.0;8.0;0.0;3.0;77.0
78.0;190.0;72.0;1.0;11.0;6.0;4.0;67.0
80.0;185.0;70.0;1.0;2.0;9.0;2.0;79.0
81.0;187.0;71.0;1.0;12.0;0.0;3.0;76.0
83.0;194.0;94.0;2.0;0.0;6.0;2.0;89.0
81.0;206.0;84.0;3.0;12.0;1.0;4.0;91.0
80.0;172.0;95.0;1.0;22.0;8.0;2.0;58.0
79.0;171.0;86.0;1.0;0.0;6.0;2.0;73.0
81.0;164.0;93.0;2.0;0.0;1.0;3.0;86.0
79.0;158.0;61.0;3.0;1.0;4.0;2.0;96.0
80.0;186.0;66.0;1.0;2.0;8.0;2.0;77.0
79.0;201.0;87.0;1.0;6.0;2.0;2.0;75.0
82.0;177.0;69.0;1.0;18.0;2.0;2.0;73.0
81.0;170.0;71.0;2.0;19.0;1.0;3.0;74.0
77.0;180.0;66.0;1.0;9.0;8.0;3.0;70.0
78.0;181.0;72.0;3.0;9.0;8.0;2.0;92.0
79.0;175.0;80.0;2.0;0.0;9.0;3.0;77.0
80.0;193.0;82.0;2.0;3.0;9.0;3.0;82.0
79.0;160.0;104.0;1.0;3.0;9.0;2.0;64.0
83.0;188.0;78.0;2.0;1.0;4.0;3.0;94.0
82.0;196.0;73.0;1.0;0.0;2.0;2.0;91.0
82.0;174.0;100.0;2.0;14.0;4.0;2.0;76.0
82.0;193.0;62.0;0.0;21.0;6.0;5.0;53.0
81.0;187.0;66.0;0.0;9.0;9.0;2.0;66.0
79.0;180.0;104.0;3.0;21.0;8.0;2.0;70.0
81.0;201.0;60.0;3.0;9.0;6.0;1.0;96.0
80.0;174.0;61.0;1.0;0.0;5.0;1.0;88.0
80.0;179.0;76.0;1.0;17.0;3.0;2.0;71.0
79.0;199.0;64.0;2.0;9.0;8.0;1.0;83.0
77.0;154.0;90.0;2.0;0.0;4.0;2.0;73.0
78.0;185.0;92.0;1.0;21.0;8.0;3.0;57.0
79.0;198.0;97.0;1.0;7.0;8.0;2.0;74.0
82.0;199.0;83.0;2.0;11.0;9.0;1.0;82.0
81.0;188.0;77.0;1.0;18.0;9.0;2.0;60.0
79.0;188.0;65.0;1.0;9.0;7.0;3.0;70.0
81.0;185.0;67.0;1.0;22.0;7.0;3.0;60.0
82.0;193.0;60.0;1.0;0.0;1.0;1.0;94.0
81.0;178.0;82.0;1.0;1.0;6.0;2.0;78.0
79.0;189.0;96.0;2.0;0.0;9.0;3.0;81.0
82.0;192.0;69.0;1.0;0.0;3.0;3.0;87.0
81.0;169.0;88.0;4.0;7.0;3.0;1.0;101.0
80.0;184.0;78.0;2.0;0.0;5.0;3.0;84.0
84.0;185.0;88.0;2.0;8.0;1.0;1.0;92.0
78.0;183.0;80.0;1.0;16.0;9.0;1.0;67.0
79.0;179.0;94.0;2.0;21.0;6.0;3.0;70.0
81.0;178.0;85.0;1.0;9.0;0.0;2.0;75.0
83.0;180.0;66.0;0.0;13.0;8.0;3.0;61.0
81.0;176.0;82.0;2.0;15.0;2.0;4.0;77.0
78.0;193.0;63.0;3.0;14.0;2.0;2.0;94.0
78.0;177.0;82.0;3.0;20.0;7.0;2.0;77.0
79.0;169.0;96.0;2.0;21.0;9.0;1.0;64.0
79.0;171.0;77.0;2.0;14.0;9.0;4.0;69.0
80.0;176.0;85.0;1.0;0.0;7.0;1.0;80.0
83.0;184.0;94.0;2.0;16.0;9.0;3.0;74.0
83.0;167.0;105.0;2.0;0.0;4.0;1.0;84.0
78.0;191.0;87.0;2.0;13.0;1.0;2.0;77.0
78.0;167.0;76.0;1.0;7.0;7.0;2.0;66.0
82.0;189.0;70.0;1.0;21.0;6.0;3.0;68.0
84.0;183.0;80.0;1.0;6.0;9.0;3.0;78.0
81.0;171.0;73.0;2.0;18.0;7.0;2.0;75.0
81.0;166.0;92.0;2.0;7.0;0.0;4.0;81.0
80.0;199.0;82.0;1.0;2.0;4.0;3.0;77.0
80.0;158.0;96.0;0.0;19.0;8.0;4.0;40.0
78.0;196.0;95.0;2.0;17.0;1.0;2.0;78.0
81.0;174.0;73.0;1.0;7.0;7.0;2.0;76.0
80.0;213.0;84.0;1.0;10.0;8.0;3.0;73.0
77.0;199.0;78.0;1.0;4.0;9.0;2.0;75.0
77.0;196.0;75.0;1.0;14.0;1.0;2.0;74.0
79.0;163.0;73.0;1.0;7.0;4.0;3.0;69.0
79.0;177.0;94.0;1.0;0.0;4.0;3.0;69.0
81.0;195.0;71.0;3.0;18.0;5.0;1.0;90.0
82.0;183.0;96.0;2.0;21.0;9.0;4.0;62.0
81.0;173.0;69.0;1.0;12.0;5.0;5.0;61.0
81.0;181.0;71.0;2.0;17.0;8.0;4.0;66.0
81.0;176.0;79.0;1.0;0.0;5.0;1.0;83.0
78.0;206.0;83.0;1.0;17.0;9.0;3.0;56.0
80.0;214.0;78.0;3.0;0.0;8.0;3.0;100.0
78.0;192.0;81.0;1.0;8.0;2.0;1.0;78.0
79.0;190.0;79.0;3.0;3.0;5.0;2.0;93.0
77.0;179.0;100.0;2.0;13.0;6.0;2.0;71.0
80.0;171.0;86.0;2.0;3.0;6.0;2.0;85.0
78.0;184.0;74.0;2.0;17.0;6.0;2.0;74.0
80.0;159.0;103.0;1.0;1.0;5.0;1.0;76.0
83.0;175.0;62.0;2.0;1.0;9.0;2.0;88.0
80.0;160.0;74.0;2.0;0.0;9.0;2.0;80.0
80.0;198.0;74.0;1.0;1.0;6.0;2.0;81.0
82.0;168.0;71.0;3.0;16.0;3.0;3.0;91.0
82.0;186.0;87.0;1.0;17.0;9.0;2.0;70.0
80.0;178.0;71.0;2.0;11.0;6.0;1.0;83.0
82.0;198.0;74.0;2.0;6.0;8.0;2.0;82.0
80.0;189.0;64.0;1.0;22.0;6.0;4.0;59.0
80.0;174.0;77.0;3.0;9.0;0.0;3.0;95.0
80.0;192.0;111.0;1.0;9.0;7.0;4.0;59.0
81.0;179.0;70.0;1.0;16.0;6.0;2.0;73.0
82.0;196.0;76.0;2.0;3.0;9.0;2.0;88.0
79.0;179.0;74.0;3.0;19.0;1.0;1.0;85.0
80.0;188.0;93.0;3.0;1.0;9.0;3.0;90.0
79.0;179.0;63.0;1.0;11.0;6.0;3.0;66.0
83.0;167.0;78.0;1.0;18.0;8.0;2.0;65.0
79.0;192.0;86.0;1.0;21.0;3.0;2.0;65.0
78.0;186.0;95.0;3.0;17.0;5.0;3.0;79.0
80.0;202.0;71.0;2.0;1.0;6.0;1.0;92.0
81.0;192.0;75.0;1.0;19.0;9.0;4.0;57.0
78.0;165.0;73.0;1.0;16.0;9.0;3.0;59.0
83.0;187.0;100.0;1.0;20.0;8.0;3.0;59.0
82.0;182.0;73.0;2.0;8.0;6.0;3.0;80.0
78.0;181.0;75.0;3.0;0.0;7.0;2.0;99.0
81.0;178.0;96.0;1.0;13.0;3.0;1.0;68.0
80.0;212.0;85.0;1.0;1.0;1.0;2.0;92.0
80.0;179.0;74.0;1.0;5.0;4.0;2.0;77.0
79.0;184.0;71.0;3.0;16.0;7.0;5.0;77.0
78.0;195.0;65.0;1.0;21.0;7.0;3.0;58.0
80.0;168.0;77.0;2.0;9.0;6.0;2.0;81.0
80.0;186.0;79.0;3.0;15.0;4.0;3.0;90.0
77.0;168.0;70.0;2.0;13.0;1.0;3.0;72.0
79.0;185.0;84.0;1.0;22.0;7.0;2.0;60.0
83.0;177.0;81.0;2.0;7.0;3.0;2.0;91.0
77.0;197.0;93.0;0.0;7.0;6.0;2.0;63.0
79.0;178.0;93.0;0.0;22.0;5.0;4.0;44.0
80.0;188.0;84.0;2.0;11.0;6.0;1.0;86.0
78.0;167.0;68.0;0.0;0.0;7.0;3.0;64.0
80.0;188.0;83.0;1.0;12.0;3.0;2.0;68.0
77.0;171.0;84.0;1.0;14.0;8.0;2.0;58.0
82.0;193.0;70.0;1.0;10.0;9.0;2.0;72.0
79.0;164.0;80.0;2.0;0.0;7.0;4.0;75.0
80.0;184.0;76.0;3.0;11.0;7.0;2.0;87.0
78.0;165.0;79.0;3.0;1.0;7.0;1.0;98.0
79.0;180.0;75.0;3.0;4.0;2.0;3.0;99.0
77.0;191.0;110.0;2.0;3.0;1.0;1.0;83.0
78.0;178.0;72.0;1.0;12.0;5.0;2.0;68.0
78.0;194.0;73.0;2.0;16.0;4.0;3.0;73.0
76.0;181.0;104.0;1.0;14.0;9.0;4.0;44.0
78.0;180.0;97.0;1.0;17.0;9.0;3.0;52.0
78.0;192.0;89.0;2.0;1.0;0.0;2.0;91.0
78.0;201.0;65.0;1.0;14.0;2.0;3.0;73.0
80.0;181.0;86.0;3.0;22.0;6.0;1.0;81.0
80.0;182.0;88.0;2.0;15.0;4.0;3.0;68.0
77.0;169.0;85.0;2.0;20.0;9.0;3.0;56.0
79.0;173.0;95.0;2.0;12.0;9.0;3.0;67.0
80.0;207.0;105.0;3.0;13.0;7.0;1.0;84.0
82.0;195.0;87.0;1.0;1.0;1.0;2.0;84.0
79.0;185.0;71.0;1.0;17.0;6.0;5.0;60.0
79.0;185.0;105.0;2.0;17.0;3.0;2.0;73.0
81.0;169.0;71.0;3.0;9.0;5.0;4.0;88.0
82.0;185.0;70.0;2.0;19.0;1.0;1.0;81.0
80.0;181.0;75.0;1.0;13.0;8.0;2.0;68.0
79.0;198.0;82.0;2.0;7.0;2.0;4.0;81.0
78.0;172.0;109.0;1.0;11.0;3.0;3.0;63.0
80.0;176.0;85.0;3.0;19.0;5.0;4.0;80.0
82.0;166.0;71.0;1.0;12.0;2.0;2.0;77.0
80.0;204.0;70.0;1.0;18.0;3.0;2.0;70.0
82.0;199.0;83.0;3.0;15.0;8.0;3.0;83.0
79.0;170.0;76.0;3.0;1.0;6.0;3.0;95.0
77.0;196.0;83.0;1.0;14.0;3.0;1.0;75.0
81.0;175.0;77.0;0.0;1.0;9.0;2.0;69.0
78.0;181.0;73.0;2.0;7.0;6.0;3.0;76.0
80.0;196.0;75.0;2.0;3.0;7.0;3.0;83.0
80.0;191.0;75.0;3.0;6.0;4.0;1.0;96.0
78.0;186.0;78.0;3.0;14.0;6.0;3.0;79.0
81.0;173.0;88.0;1.0;14.0;6.0;2.0;70.0
80.0;168.0;82.0;0.0;2.0;4.0;2.0;69.0
82.0;162.0;69.0;1.0;21.0;7.0;2.0;60.0
83.0;167.0;65.0;1.0;5.0;3.0;1.0;80.0
82.0;168.0;70.0;2.0;19.0;3.0;2.0;80.0
79.0;172.0;74.0;1.0;21.0;0.0;2.0;69.0
80.0;206.0;96.0;2.0;9.0;7.0;1.0;87.0
81.0;192.0;89.0;2.0;21.0;5.0;2.0;70.0
80.0;193.0;65.0;1.0;21.0;0.0;2.0;67.0
79.0;194.0;73.0;2.0;3.0;9.0;1.0;87.0
80.0;194.0;97.0;1.0;0.0;6.0;3.0;73.0
80.0;192.0;63.0;1.0;18.0;7.0;3.0;68.0
82.0;198.0;79.0;2.0;19.0;5.0;2.0;78.0
81.0;185.0;75.0;1.0;5.0;7.0;1.0;81.0
78.0;207.0;86.0;1.0;3.0;5.0;3.0;75.0
80.0;182.0;67.0;1.0;0.0;6.0;2.0;82.0
82.0;196.0;94.0;2.0;3.0;6.0;4.0;76.0
79.0;185.0;69.0;3.0;15.0;6.0;2.0;93.0
81.0;174.0;89.0;0.0;0.0;1.0;4.0;66.0
83.0;195.0;64.0;3.0;0.0;1.0;3.0;107.0
78.0;181.0;67.0;3.0;2.0;9.0;3.0;89.0
79.0;172.0;86.0;2.0;10.0;8.0;3.0;72.0
82.0;178.0;68.0;1.0;0.0;1.0;3.0;85.0
77.0;154.0;75.0;1.0;15.0;9.0;5.0;48.0
81.0;206.0;109.0;1.0;10.0;9.0;2.0;73.0
82.0;164.0;96.0;2.0;18.0;7.0;3.0;67.0
79.0;158.0;83.0;1.0;13.0;5.0;2.0;59.0
79.0;189.0;80.0;1.0;16.0;9.0;2.0;65.0
83.0;184.0;83.0;1.0;0.0;7.0;1.0;81.0
77.0;190.0;67.0;2.0;10.0;1.0;1.0;91.0
80.0;180.0;83.0;1.0;0.0;0.0;3.0;76.0
78.0;177.0;69.0;2.0;9.0;9.0;2.0;78.0
79.0;195.0;74.0;2.0;0.0;3.0;1.0;94.0
80.0;203.0;74.0;2.0;16.0;9.0;2.0;72.0
79.0;193.0;85.0;1.0;2.0;9.0;2.0;77.0
79.0;169.0;70.0;1.0;9.0;9.0;3.0;63.0
81.0;160.0;86.0;2.0;0.0;4.0;1.0;91.0
82.0;195.0;97.0;2.0;0.0;7.0;2.0;88.0
81.0;174.0;75.0;1.0;16.0;9.0;3.0;61.0
83.0;182.0;105.0;3.0;4.0;8.0;3.0;89.0
81.0;185.0;77.0;1.0;8.0;0.0;1.0;85.0
82.0;189.0;70.0;1.0;3.0;6.0;2.0;79.0
81.0;190.0;98.0;3.0;6.0;2.0;2.0;93.0
83.0;200.0;86.0;2.0;12.0;1.0;4.0;81.0
78.0;170.0;75.0;1.0;0.0;8.0;4.0;63.0
81.0;172.0;88.0;2.0;6.0;8.0;1.0;77.0
79.0;163.0;70.0;0.0;12.0;4.0;3.0;57.0
80.0;187.0;80.0;3.0;1.0;6.0;2.0;96.0
82.0;184.0;67.0;3.0;20.0;4.0;4.0;79.0
80.0;182.0;89.0;3.0;8.0;7.0;2.0;86.0
80.0;160.0;62.0;2.0;9.0;8.0;2.0;76.0
83.0;169.0;78.0;3.0;4.0;5.0;3.0;96.0
82.0;167.0;74.0;1.0;12.0;7.0;1.0;71.0
82.0;205.0;69.0;1.0;1.0;8.0;4.0;75.0
80.0;200.0;68.0;0.0;1.0;6.0;3.0;74.0
81.0;197.0;62.0;2.0;7.0;9.0;2.0;90.0
80.0;171.0;110.0;1.0;0.0;5.0;2.0;71.0
81.0;170.0;62.0;3.0;22.0;0.0;3.0;87.0
78.0;155.0;73.0;1.0;3.0;2.0;3.0;68.0
78.0;168.0;73.0;2.0;7.0;8.0;1.0;84.0
81.0;177.0;74.0;3.0;8.0;3.0;1.0;99.0
78.0;177.0;79.0;3.0;18.0;7.0;2.0;78.0
78.0;196.0;78.0;2.0;17.0;1.0;4.0;75.0
79.0;169.0;67.0;1.0;14.0;9.0;2.0;60.0
81.0;201.0;102.0;3.0;6.0;7.0;1.0;95.0
78.0;186.0;74.0;2.0;21.0;4.0;2.0;72.0
80.0;177.0;64.0;1.0;12.0;3.0;2.0;69.0
80.0;163.0;90.0;1.0;17.0;1.0;3.0;58.0
78.0;187.0;76.0;1.0;19.0;8.0;4.0;55.0
80.0;182.0;99.0;1.0;22.0;3.0;4.0;57.0
78.0;190.0;68.0;2.0;4.0;2.0;2.0;88.0
79.0;171.0;102.0;3.0;12.0;6.0;4.0;77.0
80.0;179.0;79.0;2.0;19.0;8.0;4.0;62.0
80.0;178.0;84.0;1.0;19.0;2.0;3.0;64.0
76.0;189.0;78.0;1.0;8.0;4.0;2.0;70.0
80.0;174.0;94.0;1.0;13.0;6.0;2.0;62.0
82.0;192.0;61.0;2.0;18.0;6.0;2.0;84.0
79.0;187.0;62.0;1.0;13.0;8.0;4.0;66.0
81.0;195.0;76.0;2.0;20.0;3.0;1.0;76.0
80.0;198.0;64.0;4.0;3.0;4.0;2.0;110.0
80.0;179.0;104.0;3.0;8.0;4.0;2.0;94.0
80.0;172.0;61.0;2.0;7.0;2.0;2.0;83.0
80.0;196.0;80.0;2.0;0.0;7.0;3.0;83.0
78.0;167.0;79.0;3.0;0.0;7.0;2.0;90.0
78.0;214.0;65.0;1.0;15.0;6.0;3.0;66.0
81.0;178.0;75.0;2.0;1.0;6.0;3.0;91.0
81.0;196.0;92.0;2.0;1.0;9.0;2.0;83.0
79.0;189.0;107.0;2.0;0.0;9.0;3.0;73.0
78.0;172.0;85.0;2.0;16.0;7.0;3.0;66.0
80.0;175.0;77.0;4.0;7.0;6.0;3.0;95.0
78.0;167.0;72.0;1.0;2.0;3.0;4.0;73.0
81.0;208.0;101.0;1.0;5.0;7.0;3.0;71.0
81.0;178.0;75.0;3.0;4.0;8.0;4.0;86.0
80.0;169.0;85.0;2.0;8.0;6.0;3.0;74.0
80.0;190.0;102.0;1.0;13.0;1.0;2.0;73.0
83.0;185.0;60.0;2.0;1.0;3.0;2.0;95.0
82.0;201.0;82.0;3.0;13.0;8.0;4.0;81.0
80.0;200.0;76.0;0.0;18.0;6.0;2.0;59.0
82.0;179.0;93.0;2.0;9.0;9.0;3.0;76.0
80.0;188.0;71.0;3.0;16.0;2.0;1.0;93.0
78.0;184.0;85.0;2.0;17.0;6.0;3.0;72.0
82.0;163.0;82.0;2.0;16.0;6.0;1.0;71.0
81.0;188.0;88.0;2.0;16.0;9.0;3.0;72.0
80.0;165.0;92.0;1.0;7.0;9.0;2.0;66.0
79.0;194.0;78.0;2.0;7.0;7.0;2.0;84.0
78.0;180.0;82.0;2.0;14.0;1.0;2.0;82.0
81.0;176.0;87.0;1.0;0.0;4.0;2.0;78.0
83.0;201.0;61.0;0.0;6.0;8.0;3.0;72.0
83.0;181.0;93.0;3.0;22.0;5.0;2.0;77.0
82.0;195.0;101.0;0.0;20.0;6.0;2.0;56.0
80.0;192.0;88.0;1.0;8.0;1.0;3.0;79.0
80.0;198.0;86.0;3.0;8.0;6.0;3.0;92.0
80.0;185.0;73.0;1.0;8.0;5.0;2.0;74.0
80.0;184.0;79.0;0.0;1.0;5.0;2.0;71.0
80.0;200.0;83.0;4.0;0.0;5.0;1.0;110.0
81.0;184.0;81.0;1.0;4.0;5.0;4.0;72.0
80.0;196.0;64.0;1.0;6.0;9.0;3.0;72.0
79.0;188.0;93.0;2.0;16.0;2.0;2.0;76.0
77.0;194.0;83.0;1.0;17.0;7.0;3.0;58.0
79.0;174.0;98.0;3.0;22.0;2.0;2.0;77.0
79.0;194.0;70.0;2.0;12.0;1.0;2.0;82.0
79.0;193.0;70.0;2.0;14.0;6.0;2.0;80.0
82.0;207.0;61.0;0.0;19.0;9.0;3.0;58.0
80.0;176.0;99.0;0.0;19.0;9.0;3.0;47.0
77.0;197.0;92.0;1.0;0.0;0.0;2.0;80.0
81.0;188.0;76.0;1.0;17.0;5.0;3.0;64.0
80.0;192.0;66.0;3.0;20.0;4.0;3.0;89.0
80.0;187.0;81.0;3.0;18.0;6.0;3.0;82.0
80.0;194.0;82.0;2.0;13.0;7.0;4.0;74.0
79.0;181.0;94.0;1.0;14.0;2.0;2.0;68.0
80.0;176.0;74.0;0.0;14.0;1.0;1.0;70.0
80.0;177.0;89.0;2.0;4.0;2.0;3.0;86.0
80.0;198.0;73.0;1.0;15.0;1.0;3.0;73.0
81.0;180.0;96.0;1.0;10.0;6.0;3.0;65.0
80.0;199.0;86.0;1.0;2.0;7.0;3.0;72.0
80.0;185.0;89.0;3.0;21.0;5.0;2.0;79.0
79.0;199.0;62.0;1.0;0.0;7.0;3.0;80.0
80.0;179.0;93.0;3.0;11.0;5.0;2.0;83.0
80.0;202.0;61.0;1.0;19.0;4.0;2.0;70.0
78.0;164.0;82.0;1.0;1.0;4.0;2.0;80.0
77.0;183.0;85.0;1.0;14.0;2.0;2.0;69.0
80.0;193.0;91.0;3.0;5.0;0.0;1.0;100.0
80.0;176.0;82.0;2.0;21.0;6.0;3.0;62.0
79.0;200.0;99.0;1.0;16.0;5.0;3.0;66.0
81.0;199.0;69.0;1.0;0.0;8.0;3.0;75.0
81.0;172.0;80.0;3.0;13.0;0.0;3.0;89.0
81.0;172.0;78.0;1.0;6.0;2.0;3.0;77.0
80.0;206.0;70.0;1.0;6.0;5.0;2.0;85.0
80.0;184.0;70.0;2.0;13.0;8.0;3.0;71.0
80.0;188.0;64.0;3.0;16.0;8.0;2.0;87.0
81.0;187.0;87.0;1.0;17.0;7.0;4.0;63.0
79.0;177.0;109.0;2.0;4.0;1.0;3.0;85.0
77.0;190.0;70.0;0.0;13.0;9.0;3.0;58.0
82.0;197.0;91.0;3.0;19.0;5.0;5.0;76.0
81.0;183.0;66.0;2.0;0.0;7.0;2.0;92.0
82.0;162.0;103.0;2.0;4.0;2.0;3.0;74.0
81.0;193.0;94.0;3.0;14.0;3.0;3.0;84.0
77.0;185.0;85.0;2.0;3.0;6.0;4.0;78.0
77.0;200.0;97.0;3.0;2.0;3.0;2.0;94.0
83.0;182.0;75.0;1.0;15.0;9.0;3.0;67.0
80.0;199.0;69.0;2.0;9.0;8.0;2.0;82.0
82.0;194.0;78.0;1.0;7.0;9.0;2.0;75.0
82.0;184.0;65.0;2.0;19.0;5.0;3.0;80.0
78.0;188.0;68.0;1.0;7.0;5.0;2.0;70.0
82.0;183.0;69.0;1.0;1.0;8.0;5.0;69.0
83.0;172.0;66.0;2.0;4.0;9.0;2.0;86.0
78.0;182.0;71.0;2.0;21.0;1.0;2.0;76.0
81.0;171.0;86.0;1.0;2.0;9.0;2.0;72.0
81.0;187.0;77.0;1.0;1.0;3.0;3.0;81.0
82.0;174.0;90.0;1.0;13.0;9.0;2.0;60.0
81.0;207.0;83.0;1.0;11.0;9.0;5.0;67.0
81.0;183.0;83.0;3.0;22.0;8.0;2.0;76.0
82.0;183.0;76.0;1.0;2.0;6.0;2.0;81.0
81.0;199.0;65.0;1.0;9.0;0.0;3.0;79.0
79.0;172.0;70.0;1.0;16.0;5.0;2.0;66.0
79.0;196.0;85.0;1.0;17.0;7.0;4.0;53.0
82.0;174.0;73.0;2.0;3.0;9.0;2.0;82.0
