genetic,exercise,smoking,alcohol,lifespan,sugar,BMI
78.5,2.5,13.8,4.4,73.2,11.0,33.8
93.8,3.4,4.0,4.4,94.4,4.8,28.6
76.6,1.6,7.1,0.4,73.7,13.6,38.5
86.1,2.0,16.4,2.0,83.0,3.5,20.8
79.7,2.0,14.6,2.3,76.3,6.5,20.5
85.6,1.4,10.6,4.5,80.2,7.8,38.9
83.8,1.1,0.2,5.0,82.9,4.7,19.4
80.9,2.0,0.3,2.0,80.9,8.1,18.7
75.6,3.1,8.5,6.0,74.4,5.3,21.4
92.7,2.9,3.8,5.0,91.4,5.4,16.1
81.1,1.8,14.0,0.1,78.8,11.4,22.9
80.2,3.8,0.7,2.4,82.3,4.2,20.7
81.6,2.7,21.2,0.2,80.4,7.1,33.9
84.4,2.2,2.8,1.2,85.0,7.1,25.7
66.2,1.8,7.3,0.3,65.1,11.4,33.5
85.6,2.1,0.2,0.5,86.6,3.4,29.6
90.0,3.6,13.0,1.5,88.7,8.3,27.1
73.6,4.4,10.2,0.7,72.9,3.6,13.2
81.6,2.9,15.4,4.7,79.4,4.5,19.4
85.8,1.2,2.8,0.9,84.3,5.3,35.2
81.6,1.2,19.7,0.4,73.6,8.0,48.7
85.3,2.8,15.4,5.1,80.0,6.7,23.1
81.7,3.8,13.8,3.3,80.4,3.1,16.5
84.6,3.5,11.4,1.4,83.0,3.1,15.5
93.2,4.0,9.8,4.7,91.3,6.0,28.8
99.5,2.5,10.0,5.7,96.3,9.7,26.7
88.3,3.0,1.0,2.4,89.8,5.2,28.5
79.3,2.0,17.8,3.9,75.9,10.1,24.8
72.1,3.7,3.0,4.8,71.4,6.0,32.3
97.0,3.7,10.9,4.0,95.1,7.4,21.7
89.8,3.2,10.7,4.8,88.4,9.8,31.0
80.6,2.3,15.4,1.3,77.0,1.7,17.6
84.3,4.3,19.8,4.5,78.9,8.0,39.0
80.6,2.7,9.1,4.9,80.0,4.9,23.8
79.4,0.2,13.1,2.1,71.3,10.3,45.2
89.8,1.5,0.5,5.1,88.0,8.8,32.1
86.6,1.3,1.8,0.4,84.6,7.1,39.4
89.9,2.7,21.0,1.7,86.6,6.0,28.6
90.3,2.1,1.4,3.9,89.8,7.0,30.3
77.8,3.9,0.4,5.1,77.6,4.9,38.0
82.4,0.1,18.1,4.7,74.1,6.0,41.0
85.3,2.0,10.7,0.6,82.5,7.4,29.4
84.7,1.5,5.4,4.2,81.8,3.9,35.1
87.9,2.4,11.0,4.2,84.4,2.1,14.8
75.6,2.3,20.3,1.4,70.6,4.9,19.2
81.1,1.2,7.6,4.6,78.1,5.2,14.6
67.2,2.2,3.0,0.5,65.4,10.7,39.4
77.2,3.1,5.8,5.3,76.4,8.0,22.7
69.7,1.2,11.7,3.8,65.5,11.8,32.3
88.7,1.7,11.6,2.1,85.3,2.5,39.4
73.6,2.5,6.1,4.5,71.9,8.4,34.5
76.8,1.8,15.5,0.9,73.9,7.8,17.7
82.7,4.3,0.8,0.5,86.3,4.9,27.4
84.7,2.6,9.6,4.8,82.8,8.0,32.3
77.1,2.1,20.0,0.4,72.9,7.1,15.0
76.7,1.7,11.6,1.3,74.4,4.7,23.7
100.1,1.8,0.1,4.6,100.1,6.9,36.6
76.7,1.4,1.2,1.7,76.8,4.8,15.7
76.6,1.4,20.6,0.3,73.0,6.8,20.5
98.1,2.2,11.6,3.1,96.1,8.1,22.5
92.7,3.5,8.0,1.3,91.8,4.7,18.7
79.8,1.8,18.0,1.7,76.2,6.1,33.0
76.2,1.4,6.5,2.8,75.8,7.3,27.8
90.2,0.2,11.0,3.6,86.1,8.5,25.8
81.5,1.7,16.6,3.9,76.9,4.3,18.6
79.2,3.4,17.5,3.8,74.9,9.0,21.3
75.8,1.8,4.1,3.5,74.3,6.8,32.6
75.6,3.4,5.0,4.2,73.7,11.3,26.7
77.4,1.6,2.3,0.1,77.3,12.7,17.4
78.9,2.9,11.0,0.8,77.8,6.1,25.3
77.2,2.9,21.9,0.6,75.6,4.7,36.4
89.4,1.5,18.7,4.5,84.0,11.8,32.2
77.3,1.6,14.7,0.3,74.4,10.6,30.2
77.7,1.9,1.4,4.5,76.3,3.4,43.1
88.0,3.2,1.9,4.7,88.7,5.6,27.9
73.5,1.7,20.1,3.0,63.4,5.2,47.1
74.9,4.2,0.2,0.4,75.0,10.4,34.0
98.0,2.7,17.3,0.5,92.5,6.5,42.4
86.0,0.8,21.6,4.3,79.0,8.7,34.1
91.8,4.7,15.1,0.6,92.6,10.1,35.9
68.9,3.4,6.1,2.6,68.4,8.0,22.5
81.7,1.4,16.8,4.8,77.3,3.6,41.5
91.7,0.9,7.5,1.2,90.2,7.0,22.3
78.7,1.7,8.9,0.4,75.3,4.8,32.2
69.5,4.0,0.6,0.7,71.1,7.9,18.8
76.3,1.5,16.6,0.5,72.3,7.1,19.0
78.3,1.7,0.2,1.0,77.7,6.2,39.7
86.3,2.3,19.1,0.9,81.1,10.4,19.4
82.2,2.8,6.9,5.3,81.0,4.4,22.5
84.3,1.3,9.6,5.3,80.8,7.1,30.7
73.3,1.7,19.4,4.6,62.7,7.1,40.7
80.0,5.4,5.0,1.5,81.8,5.6,24.0
79.5,2.4,3.4,5.4,80.6,3.2,15.5
74.1,1.4,18.7,0.9,70.5,8.0,22.4
88.7,1.8,4.5,0.3,87.7,13.3,24.2
86.8,2.0,12.4,3.9,84.3,5.1,25.2
76.7,3.1,9.6,3.5,73.9,10.5,36.3
84.5,3.2,13.8,0.8,83.2,6.8,17.7
80.4,1.5,1.1,0.5,80.2,5.8,15.1
81.8,3.0,3.7,5.0,81.6,9.2,33.4
75.5,1.3,7.6,0.3,73.7,2.3,33.5
91.4,1.3,14.1,4.3,88.0,6.7,27.6
93.7,2.6,18.4,5.1,89.6,6.3,17.5
86.2,3.6,1.0,4.1,86.9,3.2,25.1
82.6,1.7,10.1,2.7,81.0,2.3,25.7
71.6,5.3,12.7,3.6,72.2,3.7,30.3
75.9,2.0,16.1,4.2,70.8,8.2,18.9
93.2,4.7,12.8,0.7,89.8,7.0,42.3
86.0,3.3,20.2,0.4,79.9,6.2,42.7
83.8,1.8,0.1,1.1,84.0,3.2,14.5
84.3,3.5,18.6,1.0,79.2,4.5,37.7
90.5,2.1,11.8,0.9,86.5,0.8,20.4
75.7,2.5,17.9,0.8,71.9,6.2,14.8
92.1,1.6,21.6,0.2,85.6,8.7,22.6
73.0,2.6,10.7,0.1,71.1,7.0,22.7
77.0,2.6,21.6,0.2,72.5,4.4,43.3
81.1,1.9,0.2,5.0,81.0,8.9,18.0
92.6,2.3,12.2,3.5,90.0,11.9,26.9
85.5,0.5,20.7,3.8,77.4,2.4,17.1
80.0,2.4,15.3,0.9,77.0,9.1,34.9
84.6,2.3,19.9,0.5,80.0,7.7,17.8
76.2,1.8,17.5,0.4,72.6,6.0,19.3
84.0,1.9,13.0,5.3,79.4,8.3,18.9
85.3,0.7,9.9,0.9,82.2,12.2,32.6
77.2,3.3,19.0,1.7,72.5,9.1,34.8
65.3,1.0,7.4,2.3,62.9,4.5,14.0
80.1,2.5,15.4,4.2,75.5,5.7,21.2
83.7,1.8,6.3,4.2,82.6,2.8,31.0
84.8,4.6,11.3,0.4,83.3,7.2,32.4
92.7,1.8,0.0,0.8,92.0,4.0,40.0
79.8,2.3,5.4,0.7,75.8,9.7,50.2
75.9,2.1,3.0,0.4,77.2,2.6,19.7
85.0,3.1,18.1,0.2,82.4,3.6,32.7
91.5,3.7,14.1,3.2,89.6,3.1,34.2
86.1,3.9,0.9,0.2,88.7,3.1,20.0
77.3,2.1,8.2,0.9,74.7,9.0,30.8
81.3,2.3,13.2,1.7,78.8,11.8,16.5
83.5,4.2,4.5,0.7,85.6,2.3,20.4
83.6,1.8,0.4,1.0,84.2,9.3,26.8
78.8,3.7,16.8,5.3,73.6,2.3,28.8
81.1,0.5,9.8,4.1,78.3,2.9,16.8
78.0,3.1,4.4,3.7,78.6,12.2,21.3
67.1,1.5,12.2,0.7,64.2,5.7,30.2
78.6,3.6,4.5,0.4,79.3,2.8,16.5
85.5,1.9,11.3,1.5,81.6,8.3,34.3
83.2,2.8,15.3,0.4,80.2,1.2,20.1
91.0,1.0,13.9,4.9,86.9,8.8,18.9
78.2,2.1,12.5,2.4,76.3,8.6,25.7
77.3,4.5,0.1,1.0,79.5,5.4,36.1
78.7,2.3,16.4,0.7,75.6,7.0,16.9
98.5,0.8,0.1,4.6,95.8,8.0,30.0
79.3,4.5,7.6,3.9,78.5,9.1,16.9
72.4,1.4,19.5,1.7,65.3,7.9,45.4
80.8,1.1,15.8,1.6,77.0,4.5,32.6
77.8,0.7,17.7,0.3,72.1,10.0,39.7
91.1,2.7,1.4,2.2,92.2,5.9,23.3
75.0,1.5,10.5,4.2,71.9,3.9,34.6
79.3,2.9,17.9,4.0,72.8,3.7,21.3
76.3,1.4,17.1,0.5,73.1,11.6,18.8
75.3,2.8,8.5,2.9,73.5,7.8,26.7
68.2,2.4,0.8,0.4,69.6,5.1,22.9
87.7,2.6,9.6,2.0,85.8,9.3,24.7
64.2,1.8,2.6,5.1,62.8,4.1,33.7
75.3,3.4,5.9,1.0,75.6,3.6,26.0
74.0,1.4,7.4,2.4,72.3,5.6,21.6
80.7,4.3,5.8,4.3,78.8,4.8,46.7
81.8,2.9,20.6,0.3,78.2,4.2,16.6
81.8,2.4,13.3,4.4,77.2,3.5,36.2
81.7,2.3,11.7,2.9,78.7,5.6,23.3
80.1,3.1,13.9,0.8,77.8,10.4,35.9
81.7,1.6,7.6,2.4,79.2,8.7,28.8
86.5,1.3,0.1,2.8,87.2,2.5,28.9
96.3,1.1,18.1,0.5,91.9,7.6,24.3
83.1,4.5,0.9,5.6,83.8,4.1,35.4
73.1,3.1,16.4,5.2,68.1,6.6,27.7
78.8,4.4,1.2,5.2,81.6,3.1,20.0
82.2,3.4,14.8,0.6,81.2,8.0,25.3
91.3,1.5,2.0,1.1,90.8,11.2,26.9
75.9,2.4,17.6,0.6,71.5,11.2,28.8
81.8,1.2,9.4,5.6,76.8,3.1,47.7
80.2,1.2,4.5,2.1,79.1,5.9,19.0
74.9,2.5,19.3,1.5,71.5,9.0,25.4
94.7,3.7,3.3,3.1,95.4,7.8,16.5
72.2,1.5,10.6,5.4,69.1,6.3,26.4
84.1,2.0,0.2,1.1,85.6,2.2,18.0
81.0,2.7,19.8,0.7,76.9,8.4,19.8
91.9,3.0,2.4,3.9,92.2,3.2,27.9
89.4,1.9,5.1,3.7,86.3,6.4,45.2
83.8,2.3,4.3,1.1,83.5,8.4,25.0
80.3,2.0,13.0,0.2,77.0,3.1,30.2
75.3,1.7,20.7,0.4,69.4,3.6,31.7
72.3,4.1,12.0,3.2,73.1,6.2,22.7
84.2,2.2,0.5,1.9,84.3,7.6,26.5
94.1,2.7,4.5,0.5,93.2,7.6,33.5
72.5,4.5,17.1,0.8,71.5,3.5,24.2
96.6,2.6,16.9,3.9,92.6,8.0,30.9
78.2,1.1,5.9,0.5,76.2,1.8,36.7
76.5,1.0,17.5,0.8,71.5,3.0,18.1
74.3,2.2,9.7,1.4,72.9,4.0,17.7
85.7,1.9,9.0,3.5,82.0,3.2,44.0
81.1,0.9,7.4,4.2,79.3,7.8,23.0
67.4,1.5,10.2,5.2,61.2,1.6,37.8
86.7,3.6,6.6,2.5,85.0,8.2,30.7
81.2,1.9,11.2,1.7,78.9,3.4,28.7
78.7,2.8,17.7,0.1,75.9,6.3,19.2
88.0,2.1,19.8,0.8,81.6,6.9,22.3
84.6,1.4,6.9,5.7,80.8,8.3,30.0
80.5,1.7,2.2,0.8,80.2,8.4,15.5
82.0,3.2,16.6,3.5,79.0,2.5,35.1
80.2,2.3,7.5,0.6,78.7,5.5,31.2
77.6,1.3,3.8,4.4,75.7,7.1,23.1
81.3,0.5,2.4,5.3,78.5,5.2,31.5
75.8,2.8,2.0,4.9,76.7,3.8,26.7
81.5,2.6,18.1,0.1,78.3,4.5,20.1
66.8,2.8,1.5,5.1,68.2,5.0,27.9
91.7,2.1,22.1,3.6,85.3,3.1,36.2
81.7,0.2,14.6,2.1,77.0,7.5,32.4
72.3,1.2,4.3,1.1,71.5,8.8,17.7
75.2,3.1,2.5,4.3,76.6,8.7,14.2
101.6,2.6,18.5,1.3,97.6,2.9,34.5
83.9,3.3,6.8,0.0,84.3,9.2,22.7
100.5,1.8,16.0,1.0,97.6,5.7,32.5
69.1,1.1,2.1,2.8,67.7,5.4,31.0
82.6,3.6,19.9,0.4,78.3,6.2,30.2
75.1,2.0,4.5,1.9,73.8,9.0,31.0
91.9,1.3,7.9,3.7,88.3,4.1,22.8
90.3,2.2,2.0,3.4,87.9,2.3,47.8
81.9,0.4,11.7,1.0,78.5,3.3,16.5
84.8,0.8,4.4,4.6,81.0,4.2,44.3
97.1,3.1,7.8,2.2,96.5,6.4,29.0
86.7,1.1,17.4,5.4,78.9,3.8,18.9
78.7,2.1,14.2,1.4,76.2,7.9,16.7
90.8,1.0,5.2,4.3,87.9,4.5,25.2
66.4,1.1,4.5,4.4,64.3,4.2,28.1
80.1,2.8,19.0,1.1,74.5,8.6,44.0
81.6,1.7,9.4,0.4,80.6,5.7,18.0
83.0,1.1,17.7,0.4,78.6,5.2,14.7
73.0,2.1,3.8,0.1,71.8,10.1,38.3
75.2,3.8,17.6,0.3,75.9,5.7,21.7
80.1,4.0,12.9,0.2,78.5,6.8,27.0
74.8,1.8,16.6,1.6,70.6,3.3,34.6
98.0,3.7,12.7,0.7,97.9,4.0,26.9
77.9,2.1,4.0,4.3,77.9,3.8,30.8
67.9,2.9,20.6,0.5,62.1,5.6,24.8
91.1,2.3,6.4,5.5,89.0,9.4,24.2
81.6,4.9,18.2,3.2,81.7,8.7,26.2
83.4,3.3,21.6,2.9,80.4,6.4,23.1
79.0,2.1,1.1,0.4,79.8,3.3,14.4
85.8,5.3,14.7,2.2,83.8,3.9,44.2
74.5,2.7,4.5,4.4,74.5,2.8,24.6
75.4,3.9,19.5,0.5,71.6,9.7,31.5
91.0,1.7,0.5,0.7,90.0,9.5,38.6
76.8,4.1,12.2,4.6,75.9,6.8,26.3
83.5,1.7,14.4,5.0,78.5,5.4,37.8
92.5,1.9,18.8,0.8,88.8,4.2,19.7
81.8,0.4,17.6,1.2,78.5,9.3,31.9
95.4,0.9,10.5,0.6,93.2,6.0,28.7
83.9,4.1,14.4,4.7,81.8,2.6,20.1
75.1,1.0,5.3,0.3,71.6,3.8,45.7
79.4,1.2,16.2,2.1,72.7,4.1,22.7
92.7,3.3,2.8,0.2,93.4,5.0,25.7
82.8,2.1,17.5,4.7,77.5,6.0,25.6
90.8,3.3,6.7,1.5,90.8,4.0,25.5
83.5,3.4,0.7,2.2,85.0,4.6,15.1
89.6,2.7,10.6,4.8,87.2,10.1,27.7
74.3,1.7,4.3,5.2,72.8,2.0,26.3
72.7,1.6,2.4,0.8,72.3,9.8,27.4
87.1,1.1,8.3,3.6,85.6,2.0,28.6
72.4,3.2,0.9,0.5,74.0,10.0,25.0
94.3,1.9,14.8,5.0,87.9,10.8,29.2
86.6,1.9,3.1,4.1,86.5,4.6,15.1
89.6,3.5,16.7,1.3,87.1,8.7,29.5
83.8,5.3,14.9,5.0,81.6,2.4,17.9
79.1,3.9,16.2,0.9,76.5,9.5,24.9
89.8,2.6,14.0,0.6,89.0,7.4,14.7
83.8,3.0,1.4,5.6,81.0,9.0,39.7
76.5,3.7,9.5,1.0,75.3,9.4,13.1
83.0,2.4,4.9,5.7,80.2,8.3,42.6
88.3,2.4,0.3,2.1,89.9,3.7,23.1
102.2,1.3,5.1,3.5,101.6,6.3,18.4
82.9,1.4,6.2,0.7,81.4,2.6,18.2
80.6,5.2,20.2,0.3,78.9,4.0,29.8
68.2,3.2,3.9,3.2,66.9,10.7,24.6
88.0,4.2,9.5,0.4,88.1,6.9,22.3
88.5,3.6,17.4,1.9,84.1,13.6,39.7
93.3,3.6,0.7,2.4,92.6,6.1,38.5
78.4,2.8,13.3,4.5,75.9,4.8,37.4
78.9,3.4,0.9,3.5,81.0,9.3,20.6
91.4,1.8,18.5,0.3,86.8,2.7,17.4
82.7,2.8,0.4,0.7,84.1,9.3,24.0
84.4,1.9,2.6,3.9,84.2,7.1,25.4
79.5,0.7,2.7,1.3,78.2,5.8,27.2
89.2,2.6,14.2,2.0,84.5,11.6,39.4
76.1,0.2,12.7,2.8,69.9,8.4,41.3
93.0,0.8,3.2,0.3,92.4,4.4,25.1
73.1,2.3,5.8,1.2,72.3,2.7,27.9
77.2,0.5,4.7,1.3,76.0,3.8,20.6
83.2,1.6,17.6,1.2,78.4,7.8,30.4
93.1,0.6,4.4,0.4,91.7,2.1,28.7
78.3,5.1,14.9,0.4,79.6,2.8,24.2
84.0,5.4,4.3,1.3,87.7,2.3,28.6
86.8,3.7,18.0,1.1,84.2,6.4,42.9
86.3,1.6,2.9,0.4,86.4,3.0,21.4
93.0,3.6,15.0,0.4,91.8,6.6,35.0
82.4,1.4,7.7,0.5,81.7,2.0,20.8
74.5,4.0,14.0,4.4,71.1,3.7,16.4
87.1,1.7,15.3,0.3,84.0,1.8,39.0
91.4,4.2,18.0,4.0,89.2,5.5,23.1
87.2,1.0,7.7,4.7,83.6,4.2,39.4
80.3,2.6,16.7,1.2,75.7,7.7,31.2
72.7,4.7,21.7,3.0,71.7,8.7,22.0
69.7,2.8,0.2,0.6,72.1,5.3,21.4
75.2,4.8,16.4,5.2,74.3,7.1,13.6
77.3,3.5,21.5,1.5,73.3,3.1,50.0
84.2,0.5,0.0,0.4,84.0,3.8,28.0
85.0,2.1,8.4,4.3,82.9,8.5,18.3
77.8,2.1,20.3,2.3,72.4,10.7,24.3
79.2,3.4,17.2,0.9,76.3,10.8,27.9
76.9,3.5,20.1,3.9,73.6,9.9,16.0
82.3,0.5,2.9,4.0,80.3,13.5,25.1
81.9,3.7,18.9,5.6,77.3,3.5,36.5
92.9,3.4,0.4,0.3,95.5,5.5,32.2
72.9,0.5,4.2,3.4,71.7,3.9,28.1
93.5,2.1,21.8,4.1,90.0,5.8,29.3
86.0,5.4,16.5,5.0,82.6,8.2,31.4
82.0,3.2,6.1,0.4,80.3,9.5,38.6
77.6,2.8,16.1,0.7,77.7,4.1,40.0
100.0,3.9,10.4,2.2,101.2,2.5,18.2
81.7,3.4,20.0,3.3,76.0,7.5,14.2
90.1,4.1,6.1,5.4,90.2,7.6,25.1
94.2,1.7,8.0,1.0,91.8,2.1,43.8
87.4,2.3,12.3,0.4,84.8,4.5,23.0
78.2,1.8,17.8,2.2,72.6,13.8,29.1
89.5,2.6,6.2,4.8,86.8,2.1,46.5
72.7,4.6,20.1,0.4,69.9,3.5,18.9
87.8,4.0,0.2,0.8,89.1,8.8,17.9
92.7,1.1,4.2,5.1,89.8,5.8,34.0
83.8,1.3,18.8,0.6,78.6,1.1,25.3
77.2,1.7,6.3,0.6,77.6,11.0,20.6
81.8,3.5,13.0,0.6,79.6,5.9,40.1
80.2,1.3,3.8,0.2,79.7,6.8,18.8
90.9,3.4,17.2,5.3,85.7,5.5,26.0
83.6,2.5,4.5,0.6,83.9,4.9,19.0
78.8,2.0,1.4,0.6,79.4,5.2,13.8
83.3,0.8,0.9,0.6,82.5,6.0,38.3
84.8,3.3,8.4,1.2,86.0,3.4,23.6
74.3,4.5,13.8,0.3,67.6,6.4,49.2
68.6,2.5,4.5,4.3,67.8,7.3,25.2
90.9,2.0,20.7,0.5,86.4,7.6,29.5
84.5,3.9,9.8,4.3,83.6,6.7,26.4
89.1,2.0,0.1,3.7,88.9,4.1,25.3
74.5,2.6,0.2,1.3,75.3,4.6,22.2
72.4,5.3,11.8,0.7,72.0,7.1,40.2
91.6,2.9,2.3,0.9,92.8,5.8,22.0
67.1,2.8,2.6,3.6,66.6,9.0,29.6
89.8,0.2,19.1,4.8,80.8,6.1,34.1
82.7,1.8,0.2,3.5,82.9,2.6,29.3
83.2,1.6,17.3,3.4,81.6,8.6,26.9
88.3,3.8,16.3,1.9,85.2,5.9,22.8
97.2,1.4,0.8,0.9,97.6,2.6,22.0
79.0,2.7,18.9,2.0,74.2,4.2,26.1
78.3,1.6,19.4,3.7,74.0,4.2,35.8
79.5,0.7,3.9,0.3,78.8,8.2,29.4
78.9,3.2,0.2,0.2,79.9,3.7,34.6
83.1,1.8,9.4,4.2,81.8,6.2,24.2
85.5,0.1,10.5,4.6,81.7,8.1,25.9
73.8,2.8,17.4,0.3,72.8,5.1,26.1
85.3,2.3,1.4,0.6,86.5,4.4,20.8
97.2,4.8,0.8,0.7,98.7,7.0,27.4
79.6,1.8,0.1,4.8,79.2,8.4,31.1
80.3,1.9,13.1,3.8,76.4,1.1,25.0
90.7,2.4,1.6,5.9,91.1,5.4,25.0
85.9,1.5,0.1,5.2,84.9,7.4,34.0
83.4,3.2,18.2,0.1,79.0,3.8,23.0
71.7,2.2,11.4,0.5,70.0,8.9,12.2
77.4,1.3,17.4,0.7,71.6,6.4,31.5
93.4,1.4,2.0,1.0,92.6,4.5,35.3
79.7,3.2,8.6,0.2,79.6,3.6,23.7
79.2,3.4,6.5,4.8,78.4,4.4,21.3
82.0,1.5,1.5,1.9,80.2,7.2,39.9
93.2,2.1,1.6,2.1,93.3,6.7,19.4
92.6,1.8,6.1,4.5,89.6,5.4,30.5
73.9,1.6,6.8,4.0,71.9,10.4,22.1
84.1,1.8,16.6,2.6,79.4,4.3,26.5
76.5,4.6,17.1,0.9,77.8,8.2,33.1
89.9,3.8,5.5,0.7,90.1,10.2,18.2
80.3,1.1,5.0,0.5,78.1,5.9,41.2
74.2,2.9,10.4,0.5,72.9,5.7,34.4
84.5,2.3,17.1,1.6,80.0,10.5,20.5
71.2,1.0,4.4,0.1,70.2,3.5,14.0
91.9,3.1,17.0,4.6,84.8,2.6,23.8
84.8,2.6,22.1,1.8,81.4,4.3,32.7
67.5,4.5,0.3,4.2,69.7,12.9,22.0
72.0,2.5,15.2,1.2,69.4,2.7,34.0
78.2,2.4,15.4,0.8,72.5,6.6,36.1
81.7,2.2,16.9,4.7,78.6,11.0,22.2
70.2,3.7,15.6,1.2,65.9,8.4,19.0
84.4,1.7,9.7,0.6,78.7,7.1,48.2
84.8,1.4,1.7,1.7,84.6,4.2,27.5
77.9,1.8,12.5,4.2,74.6,5.2,38.3
82.6,1.7,1.0,0.6,83.2,9.0,27.6
82.8,2.0,10.7,1.0,80.1,11.3,33.0
80.4,1.7,7.7,2.8,77.8,4.8,31.7
75.2,0.2,16.9,4.2,69.9,6.4,21.2
85.9,1.5,21.7,0.1,81.5,3.4,18.7
64.9,1.5,13.8,5.9,61.1,7.0,20.2
77.3,1.7,14.3,4.0,71.5,9.7,35.2
91.7,1.4,0.1,0.8,91.4,6.4,32.1
101.8,4.5,0.1,4.0,103.2,12.6,14.8
83.5,1.2,16.1,1.4,80.3,11.2,21.9
79.4,1.9,0.2,0.7,80.1,1.7,27.5
86.9,2.1,2.8,1.2,85.0,1.6,43.3
73.3,1.7,21.1,5.2,67.1,3.7,33.0
64.1,0.5,14.3,3.2,60.5,3.5,21.0
85.3,4.2,6.9,2.4,88.3,9.5,25.3
89.9,3.4,19.7,0.4,87.2,8.4,19.3
88.5,1.8,0.0,5.1,87.9,9.4,24.9
82.7,1.7,0.6,4.7,81.9,6.5,26.7
88.4,3.2,11.8,0.6,86.9,2.4,21.0
80.6,2.7,1.1,1.5,77.2,8.4,57.0
76.5,1.3,0.1,3.8,75.9,8.6,19.0
90.1,1.5,18.6,0.8,87.5,1.3,32.5
96.0,2.5,0.2,3.7,96.8,0.9,38.7
79.4,3.2,20.8,0.1,72.5,5.3,22.0
79.2,2.2,3.0,0.5,80.7,6.7,21.1
82.1,2.2,5.8,0.9,81.6,6.2,18.2
83.7,1.3,13.7,0.6,80.5,4.1,18.0
93.1,3.9,4.0,0.8,93.4,9.0,31.9
79.6,2.8,1.4,0.2,81.6,4.5,18.7
81.9,1.1,21.6,1.4,77.2,7.0,14.2
85.0,2.0,0.8,0.4,84.0,6.8,37.8
86.6,3.4,7.7,0.8,86.2,6.5,23.5
78.9,2.0,21.1,0.7,73.4,6.4,35.1
81.1,4.3,4.4,1.8,83.4,3.8,34.9
96.0,1.5,0.4,1.9,95.9,5.2,18.5
79.0,2.3,17.2,0.3,76.3,5.3,24.5
75.3,1.7,17.8,0.4,72.7,7.3,18.3
84.6,1.1,2.3,0.5,83.6,6.8,26.7
78.5,1.8,5.3,2.2,76.8,5.8,30.9
69.0,4.7,15.5,0.2,70.6,3.8,32.9
75.0,3.0,1.0,2.3,77.4,1.3,26.3
80.0,0.7,9.1,0.8,77.3,10.5,28.1
84.5,1.7,9.7,0.7,82.3,8.9,30.8
81.4,3.9,6.0,1.9,82.1,6.4,33.4
89.1,2.3,17.3,0.7,85.9,2.3,14.9
81.3,4.2,15.2,4.4,78.7,9.1,32.9
87.3,1.5,14.3,5.5,80.2,11.8,29.7
80.0,2.5,0.7,3.7,80.7,1.7,20.0
80.5,1.7,0.1,1.5,80.7,10.5,23.5
86.7,3.3,17.9,1.1,82.2,5.8,16.1
81.4,2.2,14.3,0.9,78.8,5.9,13.6
64.6,2.5,1.1,0.8,66.1,3.3,17.5
