(1) Schlüsselzahl (Schl.) der Tat;(2) Straftat;(3) Geschlecht;(4) Tatverdächtige insgesamt;(5) Kinder bis unter 6 Jahre;(6) Kinder 6  bis unter 8 ;(7) Kinder 8  bis unter 10;(8) Kinder 10  bis unter 12;(9) Kinder 12  bis unter 14;(10) Kinder insgesamt ;(11) Jugendliche 14 bis unter 16;(12) Jugendliche 16  bis unter 18;(13) Jugendliche insgesamt;(13a) Minderjährige insgesamt;(14) Heranwachsende;(15) Insgesamt bis unter 21 Jahre;(16) Erwachsene 21 bis unter 23;(17) Erwachsene 23  bis unter 25;(18) Erwachsene 21 bis unter 25;(19) Erwachsene 25  bis unter 30;(20) Erwachsene 30  bis unter 40;(21) Erwachsene 40  bis unter 50;(22) Erwachsene 50  bis unter 60;(23) Erwachsene 60  und mehr Jahre;(24) Erwachsene insgesamt
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;W;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;M;317;0;0;0;0;5;5;13;25;38;43;41;84;36;23;59;46;65;41;14;8;233
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;G;320;0;0;0;0;5;5;13;25;38;43;41;84;36;24;60;46;66;42;14;8;236
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;M;301;0;0;0;0;5;5;12;23;35;40;41;81;35;21;56;45;58;41;14;6;220
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;G;303;0;0;0;0;5;5;12;23;35;40;41;81;35;22;57;45;59;41;14;6;222
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);M;270;0;0;0;0;4;4;10;23;33;37;40;77;33;17;50;38;52;37;13;3;193
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);G;272;0;0;0;0;4;4;10;23;33;37;40;77;33;18;51;38;53;37;13;3;195
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;M;17;0;0;0;0;1;1;2;0;2;3;1;4;2;2;4;6;1;1;1;0;13
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;G;17;0;0;0;0;1;1;2;0;2;3;1;4;2;2;4;6;1;1;1;0;13
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;M;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;5;3;1;3;16
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;G;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;5;3;1;3;16
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, 7, 8 StGB;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, 7, 8 StGB;M;16;0;0;0;0;0;0;1;2;3;3;0;3;1;2;3;1;7;0;0;2;13
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, 7, 8 StGB;G;17;0;0;0;0;0;0;1;2;3;3;0;3;1;2;3;1;7;1;0;2;14
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;8;0;0;0;0;0;0;0;2;2;2;0;2;1;0;1;1;3;0;0;1;6
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;4;0;0;0;0;0;0;1;0;1;1;0;1;0;2;2;0;1;0;0;0;3
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;G;8;0;0;0;0;0;0;0;2;2;2;0;2;1;0;1;1;3;0;0;1;6
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;G;4;0;0;0;0;0;0;1;0;1;1;0;1;0;2;2;0;1;0;0;0;3
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;4
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;G;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;5
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;W;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;M;154;0;0;0;0;3;3;8;12;20;23;13;36;13;14;27;14;33;12;16;16;118
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;G;155;0;0;0;0;3;3;8;12;20;23;14;37;13;14;27;14;33;12;16;16;118
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;W;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;M;102;0;0;0;0;2;2;6;10;16;18;8;26;6;8;14;13;22;6;11;10;76
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;G;103;0;0;0;0;2;2;6;10;16;18;9;27;6;8;14;13;22;6;11;10;76
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;M;42;0;0;0;0;1;1;1;1;2;3;5;8;6;5;11;2;11;3;4;3;34
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;G;42;0;0;0;0;1;1;1;1;2;3;5;8;6;5;11;2;11;3;4;3;34
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;M;12;0;0;0;0;0;0;1;1;2;2;0;2;1;1;2;0;0;4;1;3;10
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;G;12;0;0;0;0;0;0;1;1;2;2;0;2;1;1;2;0;0;4;1;3;10
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;M;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;6;6;3;23
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;G;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;6;6;3;24
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;M;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;3;0;14
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;G;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;3;0;14
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;M;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2;8
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;G;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;2;9
114000;Sexuelle Belästigung § 184i StGB;W;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;5
114000;Sexuelle Belästigung § 184i StGB;M;360;0;0;2;4;7;13;21;20;41;54;31;85;16;24;40;32;66;55;37;45;275
114000;Sexuelle Belästigung § 184i StGB;G;365;0;0;2;4;7;13;21;20;41;54;31;85;16;24;40;32;67;58;38;45;280
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;W;25;0;1;0;1;1;3;1;2;3;6;0;6;0;1;1;3;7;5;1;2;19
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;M;484;1;1;2;6;24;34;48;29;77;111;33;144;15;13;28;46;98;72;51;45;340
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;G;509;1;2;2;7;25;37;49;31;80;117;33;150;15;14;29;49;105;77;52;47;359
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;W;18;0;1;0;1;0;2;1;2;3;5;0;5;0;0;0;3;6;3;0;1;13
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;M;341;1;1;2;6;24;34;48;29;77;111;29;140;11;11;22;26;62;53;22;16;201
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;G;359;1;2;2;7;24;36;49;31;80;116;29;145;11;11;22;29;68;56;22;17;214
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;M;27;0;0;0;1;0;1;3;1;4;5;2;7;0;1;1;5;6;6;1;1;20
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;G;27;0;0;0;1;0;1;3;1;4;5;2;7;0;1;1;5;6;6;1;1;20
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;W;7;0;0;0;0;0;0;1;1;2;2;0;2;0;0;0;1;1;2;0;1;5
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;M;132;1;1;2;0;7;11;23;16;39;50;6;56;3;2;5;6;25;25;9;6;76
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;G;139;1;1;2;0;7;11;24;17;41;52;6;58;3;2;5;7;26;27;9;7;81
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;M;22;0;0;0;0;1;1;1;1;2;3;0;3;0;0;0;4;1;8;3;3;19
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;G;24;0;0;0;0;1;1;1;1;2;3;0;3;0;0;0;4;2;9;3;3;21
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;W;2;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;M;11;0;0;0;0;5;5;2;0;2;7;0;7;0;0;0;0;2;0;1;1;4
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;G;13;0;1;0;0;5;6;2;0;2;8;0;8;0;0;0;0;3;0;1;1;5
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;W;5;0;0;0;1;0;1;0;1;1;2;0;2;0;0;0;2;1;0;0;0;3
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;M;108;0;0;0;3;11;14;20;11;31;45;13;58;8;6;14;8;12;9;5;2;50
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;G;113;0;0;0;4;11;15;20;12;32;47;13;60;8;6;14;10;13;9;5;2;53
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;W;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;M;33;0;0;0;0;0;0;0;0;0;0;6;6;0;1;1;2;9;8;4;3;27
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;G;35;0;0;0;0;0;0;0;0;0;0;6;6;0;1;1;2;11;8;4;3;29
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften;M;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;4
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften;G;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;4
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;M;21;0;0;0;2;1;3;1;0;1;4;2;6;0;0;0;2;11;1;1;0;15
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;G;21;0;0;0;2;1;3;1;0;1;4;2;6;0;0;0;2;11;1;1;0;15
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;W;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;5
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;M;122;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;19;29;18;24;26;121
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;G;127;0;0;0;0;0;0;0;0;0;0;1;1;3;3;6;19;30;19;25;27;126
132010;Exhibitionistische Handlungen § 183 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132010;Exhibitionistische Handlungen § 183 StGB;M;106;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;17;25;16;20;22;105
132010;Exhibitionistische Handlungen § 183 StGB;G;106;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;17;25;16;20;22;105
132020;Erregung öffentlichen Ärgernisses § 183a StGB;W;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;5
132020;Erregung öffentlichen Ärgernisses § 183a StGB;M;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;4;5;21
132020;Erregung öffentlichen Ärgernisses § 183a StGB;G;26;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;7;5;5;6;26
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;W;3;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;2
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;M;30;0;0;0;0;0;0;0;0;0;0;3;3;1;0;1;3;10;4;6;3;27
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;G;33;0;0;0;0;1;1;0;0;0;1;3;4;1;0;1;3;11;5;6;3;29
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;M;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3;1;0;1;6
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;G;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3;1;0;1;6
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;W;3;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;2
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;M;23;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;2;7;3;6;2;21
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;G;26;0;0;0;0;1;1;0;0;0;1;2;3;1;0;1;2;8;4;6;2;23
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g, 184k StGB;W;138;0;0;2;10;27;39;22;14;36;75;7;82;7;1;8;7;13;21;7;0;56
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g, 184k StGB;M;916;0;3;6;18;58;85;133;109;242;327;87;414;48;38;86;83;134;94;72;33;502
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g, 184k StGB;G;1.054;0;3;8;28;85;124;155;123;278;402;94;496;55;39;94;90;147;115;79;33;558
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;M;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
